city,grid_x,grid_y,building_density,avg_building_height,terrain_complexity,no_fly_zone,min_lon,max_lon,min_lat,max_lat
Beijing,0,0,0.0298,1.34,5.38,0,116.0,116.001,39.9,39.901
Beijing,0,1,0.0579,2.76,5.47,0,116.0,116.001,39.901,39.902
Beijing,0,2,0.0,0.0,4.52,0,116.0,116.001,39.902,39.903
Beijing,0,3,0.0,1.88,0.55,0,116.0,116.001,39.903,39.904
Beijing,0,4,0.0352,10.39,4.02,0,116.0,116.001,39.904,39.905
Beijing,0,5,0.0,0.0,3.02,0,116.0,116.001,39.905,39.906
Beijing,0,6,0.1437,0.0,2.49,0,116.0,116.001,39.906,39.907
Beijing,0,7,0.0,0.0,4.59,0,116.0,116.001,39.907,39.908
Beijing,0,8,0.1029,0.0,2.23,1,116.0,116.001,39.908,39.909
Beijing,0,9,0.2714,9.79,2.81,0,116.0,116.001,39.909,39.91
Beijing,0,10,0.2951,1.69,2.43,0,116.0,116.001,39.91,39.911
Beijing,0,11,0.0,0.0,2.66,0,116.0,116.001,39.911,39.912
Beijing,0,12,0.352,3.92,0.0,0,116.0,116.001,39.912,39.913
Beijing,0,13,0.1193,12.67,1.19,0,116.0,116.001,39.913,39.914
Beijing,0,14,0.0967,2.39,4.51,0,116.0,116.001,39.914,39.915
Beijing,0,15,0.1648,1.34,0.0,0,116.0,116.001,39.915,39.916
Beijing,0,16,0.2437,6.66,4.07,0,116.0,116.001,39.916,39.917
Beijing,0,17,0.1084,10.32,0.19,0,116.0,116.001,39.917,39.918
Beijing,0,18,0.0,0.0,7.16,0,116.0,116.001,39.918,39.919
Beijing,0,19,0.1217,2.46,2.31,0,116.0,116.001,39.919,39.92
Beijing,0,20,0.3869,3.91,4.31,0,116.0,116.001,39.92,39.921
Beijing,0,21,0.2398,7.68,2.37,1,116.0,116.001,39.921,39.922
Beijing,0,22,0.0473,0.0,0.0,0,116.0,116.001,39.922,39.923
Beijing,0,23,0.0335,0.0,0.0,0,116.0,116.001,39.923,39.924
Beijing,0,24,0.3597,9.6,8.21,0,116.0,116.001,39.924,39.925
Beijing,0,25,0.6031,16.47,4.23,0,116.0,116.001,39.925,39.926
Beijing,0,26,0.0,0.0,3.97,0,116.0,116.001,39.926,39.927
Beijing,0,27,0.2779,9.47,1.83,0,116.0,116.001,39.927,39.928
Beijing,0,28,0.4679,22.77,2.61,1,116.0,116.001,39.928,39.929
Beijing,0,29,0.1771,11.22,6.65,0,116.0,116.001,39.929,39.93
Beijing,0,30,0.2462,9.65,3.4,0,116.0,116.001,39.93,39.931
Beijing,0,31,0.195,2.37,3.71,0,116.0,116.001,39.931,39.932
Beijing,0,32,0.6187,24.2,3.53,0,116.0,116.001,39.932,39.933
Beijing,0,33,0.2207,2.45,5.77,1,116.0,116.001,39.933,39.934
Beijing,0,34,0.1983,7.91,2.1,1,116.0,116.001,39.934,39.935
Beijing,0,35,0.0836,0.0,3.69,0,116.0,116.001,39.935,39.936
Beijing,0,36,0.3443,2.06,1.48,0,116.0,116.001,39.936,39.937
Beijing,0,37,0.032,0.0,0.0,0,116.0,116.001,39.937,39.938
Beijing,0,38,0.4345,13.37,8.56,0,116.0,116.001,39.938,39.939
Beijing,0,39,0.2357,0.0,0.58,0,116.0,116.001,39.939,39.94
Beijing,0,40,0.0,6.39,1.16,0,116.0,116.001,39.94,39.941
Beijing,0,41,0.3372,10.53,4.57,0,116.0,116.001,39.941,39.942
Beijing,0,42,0.0,6.25,7.24,0,116.0,116.001,39.942,39.943
Beijing,0,43,0.451,9.28,5.17,0,116.0,116.001,39.943,39.944
Beijing,0,44,0.432,15.44,7.02,0,116.0,116.001,39.944,39.945
Beijing,0,45,0.1113,0.0,2.51,0,116.0,116.001,39.945,39.946
Beijing,0,46,0.0,2.83,0.0,0,116.0,116.001,39.946,39.947
Beijing,0,47,0.0617,0.37,0.0,0,116.0,116.001,39.947,39.948
Beijing,0,48,0.0,5.41,5.81,0,116.0,116.001,39.948,39.949
Beijing,0,49,0.0,0.0,5.28,1,116.0,116.001,39.949,39.95
Beijing,1,0,0.0,0.0,6.86,1,116.001,116.002,39.9,39.901
Beijing,1,1,0.2268,0.0,4.93,0,116.001,116.002,39.901,39.902
Beijing,1,2,0.3181,11.44,5.33,0,116.001,116.002,39.902,39.903
Beijing,1,3,0.0,0.0,1.71,0,116.001,116.002,39.903,39.904
Beijing,1,4,0.3615,8.26,6.28,0,116.001,116.002,39.904,39.905
Beijing,1,5,0.5398,26.29,0.0,0,116.001,116.002,39.905,39.906
Beijing,1,6,0.273,6.2,3.91,0,116.001,116.002,39.906,39.907
Beijing,1,7,0.1612,2.57,3.15,0,116.001,116.002,39.907,39.908
Beijing,1,8,0.2082,9.88,0.0,0,116.001,116.002,39.908,39.909
Beijing,1,9,0.3133,10.47,7.96,0,116.001,116.002,39.909,39.91
Beijing,1,10,0.2252,16.86,5.63,0,116.001,116.002,39.91,39.911
Beijing,1,11,0.1326,8.85,7.22,1,116.001,116.002,39.911,39.912
Beijing,1,12,0.0,0.0,6.45,0,116.001,116.002,39.912,39.913
Beijing,1,13,0.0,3.72,4.6,0,116.001,116.002,39.913,39.914
Beijing,1,14,0.0,0.0,0.0,0,116.001,116.002,39.914,39.915
Beijing,1,15,0.1139,8.22,4.74,0,116.001,116.002,39.915,39.916
Beijing,1,16,0.2141,11.02,4.35,0,116.001,116.002,39.916,39.917
Beijing,1,17,0.2296,3.34,4.48,0,116.001,116.002,39.917,39.918
Beijing,1,18,0.2922,0.17,1.75,1,116.001,116.002,39.918,39.919
Beijing,1,19,0.0329,8.45,5.76,0,116.001,116.002,39.919,39.92
Beijing,1,20,0.3459,8.07,4.17,0,116.001,116.002,39.92,39.921
Beijing,1,21,0.5777,10.12,2.82,0,116.001,116.002,39.921,39.922
Beijing,1,22,0.0,0.0,0.57,0,116.001,116.002,39.922,39.923
Beijing,1,23,0.0931,0.0,2.4,0,116.001,116.002,39.923,39.924
Beijing,1,24,0.3127,4.66,5.35,0,116.001,116.002,39.924,39.925
Beijing,1,25,0.2441,5.6,6.23,0,116.001,116.002,39.925,39.926
Beijing,1,26,0.1835,5.62,4.28,0,116.001,116.002,39.926,39.927
Beijing,1,27,0.0,7.51,0.8,0,116.001,116.002,39.927,39.928
Beijing,1,28,0.3946,9.2,7.05,0,116.001,116.002,39.928,39.929
Beijing,1,29,0.0836,0.85,1.61,0,116.001,116.002,39.929,39.93
Beijing,1,30,0.1986,11.88,7.15,1,116.001,116.002,39.93,39.931
Beijing,1,31,0.0,0.43,5.45,0,116.001,116.002,39.931,39.932
Beijing,1,32,0.334,11.31,5.34,0,116.001,116.002,39.932,39.933
Beijing,1,33,0.4847,3.47,7.63,0,116.001,116.002,39.933,39.934
Beijing,1,34,0.1983,0.0,3.9,0,116.001,116.002,39.934,39.935
Beijing,1,35,0.5244,13.45,5.37,0,116.001,116.002,39.935,39.936
Beijing,1,36,0.1163,3.41,2.79,0,116.001,116.002,39.936,39.937
Beijing,1,37,0.175,2.28,7.69,1,116.001,116.002,39.937,39.938
Beijing,1,38,0.0697,4.58,1.08,0,116.001,116.002,39.938,39.939
Beijing,1,39,0.0385,0.0,1.87,0,116.001,116.002,39.939,39.94
Beijing,1,40,0.0038,2.54,5.52,0,116.001,116.002,39.94,39.941
Beijing,1,41,0.3676,16.83,5.64,0,116.001,116.002,39.941,39.942
Beijing,1,42,0.3633,12.7,7.33,0,116.001,116.002,39.942,39.943
Beijing,1,43,0.2276,8.01,3.84,0,116.001,116.002,39.943,39.944
Beijing,1,44,0.0068,0.0,5.15,0,116.001,116.002,39.944,39.945
Beijing,1,45,0.4206,3.41,3.4,0,116.001,116.002,39.945,39.946
Beijing,1,46,0.1678,6.98,6.0,0,116.001,116.002,39.946,39.947
Beijing,1,47,0.3519,12.84,1.44,0,116.001,116.002,39.947,39.948
Beijing,1,48,0.0,7.2,0.97,0,116.001,116.002,39.948,39.949
Beijing,1,49,0.0717,0.0,5.97,0,116.001,116.002,39.949,39.95
Beijing,2,0,0.2535,13.58,0.31,0,116.002,116.003,39.9,39.901
Beijing,2,1,0.0602,0.0,1.77,0,116.002,116.003,39.901,39.902
Beijing,2,2,0.2764,5.74,2.51,0,116.002,116.003,39.902,39.903
Beijing,2,3,0.2211,1.74,5.65,0,116.002,116.003,39.903,39.904
Beijing,2,4,0.1983,8.28,2.46,0,116.002,116.003,39.904,39.905
Beijing,2,5,0.0288,14.65,3.6,0,116.002,116.003,39.905,39.906
Beijing,2,6,0.0,0.0,5.32,0,116.002,116.003,39.906,39.907
Beijing,2,7,0.0,0.0,2.27,0,116.002,116.003,39.907,39.908
Beijing,2,8,0.3385,2.66,6.0,0,116.002,116.003,39.908,39.909
Beijing,2,9,0.0,0.0,4.12,0,116.002,116.003,39.909,39.91
Beijing,2,10,0.0,4.78,1.4,1,116.002,116.003,39.91,39.911
Beijing,2,11,0.0,1.29,2.91,1,116.002,116.003,39.911,39.912
Beijing,2,12,0.0857,4.91,5.28,0,116.002,116.003,39.912,39.913
Beijing,2,13,0.7969,15.87,5.25,0,116.002,116.003,39.913,39.914
Beijing,2,14,0.0,7.92,7.01,0,116.002,116.003,39.914,39.915
Beijing,2,15,0.2172,4.67,2.76,0,116.002,116.003,39.915,39.916
Beijing,2,16,0.257,2.16,4.75,0,116.002,116.003,39.916,39.917
Beijing,2,17,0.1758,3.79,1.63,0,116.002,116.003,39.917,39.918
Beijing,2,18,0.1917,2.08,5.29,0,116.002,116.003,39.918,39.919
Beijing,2,19,0.1337,7.07,0.0,0,116.002,116.003,39.919,39.92
Beijing,2,20,0.0254,7.55,8.4,0,116.002,116.003,39.92,39.921
Beijing,2,21,0.079,5.51,2.16,0,116.002,116.003,39.921,39.922
Beijing,2,22,0.4177,18.78,3.02,0,116.002,116.003,39.922,39.923
Beijing,2,23,0.0,1.56,4.56,0,116.002,116.003,39.923,39.924
Beijing,2,24,0.0,7.46,4.64,0,116.002,116.003,39.924,39.925
Beijing,2,25,0.2437,3.21,4.62,0,116.002,116.003,39.925,39.926
Beijing,2,26,0.7342,20.95,0.0,0,116.002,116.003,39.926,39.927
Beijing,2,27,0.6243,21.63,6.24,0,116.002,116.003,39.927,39.928
Beijing,2,28,0.0,0.0,2.7,0,116.002,116.003,39.928,39.929
Beijing,2,29,0.321,2.75,5.98,0,116.002,116.003,39.929,39.93
Beijing,2,30,0.4895,12.57,8.25,0,116.002,116.003,39.93,39.931
Beijing,2,31,0.2189,2.18,0.98,0,116.002,116.003,39.931,39.932
Beijing,2,32,0.2843,0.0,5.53,0,116.002,116.003,39.932,39.933
Beijing,2,33,0.2141,3.81,6.94,0,116.002,116.003,39.933,39.934
Beijing,2,34,0.0,0.0,6.68,0,116.002,116.003,39.934,39.935
