city,grid_x,grid_y,building_density,avg_building_height,terrain_complexity,no_fly_zone,min_lon,max_lon,min_lat,max_lat
Chengdu,0,0,0.07121999999999999,7.9,5.404,0,104.0,104.001,30.6,30.601
Chengdu,0,1,0.10218,0.73,2.38,0,104.0,104.001,30.601,30.602
Chengdu,0,2,0.00228,0.0,8.133999999999999,0,104.0,104.001,30.602,30.603
Chengdu,0,3,0.27984,5.54,4.7459999999999996,0,104.0,104.001,30.603,30.604
Chengdu,0,4,0.0,0.0,6.566,0,104.0,104.001,30.604,30.605
Chengdu,0,5,0.0,0.11,3.7379999999999995,0,104.0,104.001,30.605,30.606
Chengdu,0,6,0.26255999999999996,8.83,7.854,0,104.0,104.001,30.606,30.607
Chengdu,0,7,0.15222,8.79,4.311999999999999,0,104.0,104.001,30.607,30.608
Chengdu,0,8,0.0,4.28,0.0,1,104.0,104.001,30.608,30.609
Chengdu,0,9,0.0,0.0,0.0,0,104.0,104.001,30.609,30.61
Chengdu,0,10,0.04296,2.42,10.0,0,104.0,104.001,30.61,30.611
Chengdu,0,11,0.1305,6.61,4.409999999999999,0,104.0,104.001,30.611,30.612
Chengdu,0,12,0.0,1.56,5.292,0,104.0,104.001,30.612,30.613
Chengdu,0,13,0.0,3.25,7.322,0,104.0,104.001,30.613,30.614
Chengdu,0,14,0.08778000000000001,9.94,2.9819999999999998,0,104.0,104.001,30.614,30.615
Chengdu,0,15,0.18366,5.54,5.109999999999999,0,104.0,104.001,30.615,30.616
Chengdu,0,16,0.18581999999999999,10.31,5.992,0,104.0,104.001,30.616,30.617
Chengdu,0,17,0.09419999999999999,2.89,3.2199999999999998,0,104.0,104.001,30.617,30.618
Chengdu,0,18,0.02736,0.0,3.78,0,104.0,104.001,30.618,30.619
Chengdu,0,19,0.38598,15.79,10.0,0,104.0,104.001,30.619,30.62
Chengdu,0,20,0.0,0.0,0.0,0,104.0,104.001,30.62,30.621
Chengdu,0,21,0.23783999999999997,1.59,7.139999999999999,0,104.0,104.001,30.621,30.622
Chengdu,0,22,0.15,0.0,10.0,0,104.0,104.001,30.622,30.623
Chengdu,0,23,0.18966,13.48,3.43,0,104.0,104.001,30.623,30.624
Chengdu,0,24,0.32166,24.58,9.982,0,104.0,104.001,30.624,30.625
Chengdu,0,25,0.0,0.0,7.266,0,104.0,104.001,30.625,30.626
Chengdu,0,26,0.0,0.0,0.0,0,104.0,104.001,30.626,30.627
Chengdu,0,27,0.0,0.0,0.0,0,104.0,104.001,30.627,30.628
Chengdu,0,28,0.0,3.15,1.19,1,104.0,104.001,30.628,30.629
Chengdu,0,29,0.26784,10.73,10.0,0,104.0,104.001,30.629,30.63
Chengdu,0,30,0.23676,13.62,3.9899999999999998,0,104.0,104.001,30.63,30.631
Chengdu,0,31,0.09395999999999999,12.87,0.0,0,104.0,104.001,30.631,30.632
Chengdu,0,32,0.0,0.0,4.032,0,104.0,104.001,30.632,30.633
Chengdu,0,33,0.23112,4.85,9.604,0,104.0,104.001,30.633,30.634
Chengdu,0,34,0.18366,8.47,3.388,0,104.0,104.001,30.634,30.635
Chengdu,0,35,0.0,13.98,5.026,0,104.0,104.001,30.635,30.636
Chengdu,0,36,0.030479999999999997,0.82,2.828,0,104.0,104.001,30.636,30.637
Chengdu,0,37,0.14166,2.69,3.2199999999999998,0,104.0,104.001,30.637,30.638
Chengdu,0,38,0.16548,6.06,3.752,0,104.0,104.001,30.638,30.639
Chengdu,0,39,0.0,0.0,6.972,0,104.0,104.001,30.639,30.64
Chengdu,0,40,0.11442,9.81,6.986,0,104.0,104.001,30.64,30.641
Chengdu,0,41,0.0,0.0,0.0,0,104.0,104.001,30.641,30.642
Chengdu,0,42,0.0,0.0,1.302,0,104.0,104.001,30.642,30.643
Chengdu,0,43,0.09527999999999999,2.6,10.0,0,104.0,104.001,30.643,30.644
Chengdu,0,44,0.01512,3.73,8.862,0,104.0,104.001,30.644,30.645
Chengdu,0,45,0.15557999999999997,5.76,9.856,0,104.0,104.001,30.645,30.646
Chengdu,0,46,0.0225,4.81,1.9879999999999998,1,104.0,104.001,30.646,30.647
Chengdu,0,47,0.02964,1.17,3.038,0,104.0,104.001,30.647,30.648
Chengdu,0,48,0.16992,2.48,5.642,0,104.0,104.001,30.648,30.649
Chengdu,0,49,0.0,0.0,5.138,0,104.0,104.001,30.649,30.65
Chengdu,1,0,0.11562,5.1,4.465999999999999,0,104.001,104.002,30.6,30.601
Chengdu,1,1,0.21869999999999998,10.3,9.351999999999999,0,104.001,104.002,30.601,30.602
Chengdu,1,2,0.40668,22.61,6.733999999999999,0,104.001,104.002,30.602,30.603
Chengdu,1,3,0.21839999999999998,3.44,4.465999999999999,0,104.001,104.002,30.603,30.604
Chengdu,1,4,0.12365999999999999,10.99,7.854,0,104.001,104.002,30.604,30.605
Chengdu,1,5,0.0,0.89,0.0,0,104.001,104.002,30.605,30.606
Chengdu,1,6,0.0,3.6,7.811999999999999,0,104.001,104.002,30.606,30.607
Chengdu,1,7,0.12534,14.3,2.38,0,104.001,104.002,30.607,30.608
Chengdu,1,8,0.0,1.1,5.7540000000000004,0,104.001,104.002,30.608,30.609
Chengdu,1,9,0.29453999999999997,16.34,9.813999999999998,0,104.001,104.002,30.609,30.61
