city,grid_x,grid_y,building_density,avg_building_height,terrain_complexity,no_fly_zone,min_lon,max_lon,min_lat,max_lat
Shanghai,0,0,0.0,0.0,2.24,0,121.4,121.401,31.2,31.201
Shanghai,0,1,0.3374,6.79,7.43,0,121.4,121.401,31.201,31.202
Shanghai,0,2,0.0,9.06,5.19,0,121.4,121.401,31.202,31.203
Shanghai,0,3,0.0,1.71,7.57,0,121.4,121.401,31.203,31.204
Shanghai,0,4,0.2334,8.55,4.05,0,121.4,121.401,31.204,31.205
Shanghai,0,5,0.2425,3.55,1.7,0,121.4,121.401,31.205,31.206
Shanghai,0,6,0.0,0.68,5.17,1,121.4,121.401,31.206,31.207
Shanghai,0,7,0.0266,0.8,6.7,0,121.4,121.401,31.207,31.208
Shanghai,0,8,0.1264,6.54,7.04,0,121.4,121.401,31.208,31.209
Shanghai,0,9,0.2228,11.9,2.71,0,121.4,121.401,31.209,31.21
Shanghai,0,10,0.0183,0.0,4.1,0,121.4,121.401,31.21,31.211
Shanghai,0,11,0.1038,0.0,9.14,0,121.4,121.401,31.211,31.212
Shanghai,0,12,0.0678,5.59,2.57,0,121.4,121.401,31.212,31.213
Shanghai,0,13,0.2329,8.48,4.67,1,121.4,121.401,31.213,31.214
Shanghai,0,14,0.4684,9.87,4.5,0,121.4,121.401,31.214,31.215
Shanghai,0,15,0.0,0.0,5.5,0,121.4,121.401,31.215,31.216
Shanghai,0,16,0.16,6.33,2.22,0,121.4,121.401,31.216,31.217
Shanghai,0,17,0.3222,4.37,3.39,0,121.4,121.401,31.217,31.218
Shanghai,0,18,0.1307,3.22,4.88,0,121.4,121.401,31.218,31.219
Shanghai,0,19,0.2093,3.96,6.66,0,121.4,121.401,31.219,31.22
Shanghai,0,20,0.2749,7.85,5.02,0,121.4,121.401,31.22,31.221
Shanghai,0,21,0.3401,15.62,8.63,0,121.4,121.401,31.221,31.222
Shanghai,0,22,0.0358,1.59,5.96,0,121.4,121.401,31.222,31.223
Shanghai,0,23,0.2969,8.49,4.93,0,121.4,121.401,31.223,31.224
Shanghai,0,24,0.2399,1.32,3.57,0,121.4,121.401,31.224,31.225
Shanghai,0,25,0.0368,0.0,0.22,0,121.4,121.401,31.225,31.226
Shanghai,0,26,0.168,8.96,5.92,0,121.4,121.401,31.226,31.227
Shanghai,0,27,0.0,0.0,0.0,0,121.4,121.401,31.227,31.228
Shanghai,0,28,0.0,0.0,0.0,0,121.4,121.401,31.228,31.229
Shanghai,0,29,0.0388,0.0,0.3,0,121.4,121.401,31.229,31.23
Shanghai,0,30,0.2159,11.56,4.67,0,121.4,121.401,31.23,31.231
Shanghai,0,31,0.3813,8.78,0.7,0,121.4,121.401,31.231,31.232
Shanghai,0,32,0.141,9.07,6.1,0,121.4,121.401,31.232,31.233
Shanghai,0,33,0.1776,10.99,3.43,0,121.4,121.401,31.233,31.234
Shanghai,0,34,0.3653,0.35,7.5,0,121.4,121.401,31.234,31.235
Shanghai,0,35,0.2006,16.19,4.44,1,121.4,121.401,31.235,31.236
Shanghai,0,36,0.1165,0.0,8.33,0,121.4,121.401,31.236,31.237
Shanghai,0,37,0.0065,3.67,0.0,0,121.4,121.401,31.237,31.238
Shanghai,0,38,0.2331,5.36,7.93,1,121.4,121.401,31.238,31.239
Shanghai,0,39,0.0,0.0,5.54,0,121.4,121.401,31.239,31.24
Shanghai,0,40,0.177,5.62,2.56,0,121.4,121.401,31.24,31.241
Shanghai,0,41,0.1751,0.0,6.79,0,121.4,121.401,31.241,31.242
Shanghai,0,42,0.2125,6.58,3.49,0,121.4,121.401,31.242,31.243
Shanghai,0,43,0.1351,0.0,2.65,0,121.4,121.401,31.243,31.244
Shanghai,0,44,0.0385,0.0,1.09,0,121.4,121.401,31.244,31.245
Shanghai,0,45,0.1985,1.37,2.32,0,121.4,121.401,31.245,31.246
Shanghai,0,46,0.0,5.79,6.0,0,121.4,121.401,31.246,31.247
Shanghai,0,47,0.2278,9.78,1.87,0,121.4,121.401,31.247,31.248
Shanghai,0,48,0.399,5.26,3.41,0,121.4,121.401,31.248,31.249
Shanghai,0,49,0.2471,6.2,3.68,0,121.4,121.401,31.249,31.25
Shanghai,1,0,0.3064,0.19,7.71,1,121.401,121.402,31.2,31.201
Shanghai,1,1,0.2533,10.29,4.41,0,121.401,121.402,31.201,31.202
Shanghai,1,2,0.4286,13.67,5.75,0,121.401,121.402,31.202,31.203
Shanghai,1,3,0.2567,7.95,1.1,0,121.401,121.402,31.203,31.204
Shanghai,1,4,0.0,0.0,1.72,1,121.401,121.402,31.204,31.205
Shanghai,1,5,0.1069,12.69,1.87,0,121.401,121.402,31.205,31.206
Shanghai,1,6,0.0761,8.15,6.15,0,121.401,121.402,31.206,31.207
Shanghai,1,7,0.0311,3.6,1.74,0,121.401,121.402,31.207,31.208
Shanghai,1,8,0.1889,10.99,8.31,0,121.401,121.402,31.208,31.209
Shanghai,1,9,0.0,0.0,3.15,0,121.401,121.402,31.209,31.21
Shanghai,1,10,0.0,0.0,1.62,0,121.401,121.402,31.21,31.211
Shanghai,1,11,0.0354,3.28,3.06,0,121.401,121.402,31.211,31.212
Shanghai,1,12,0.2417,16.23,5.44,0,121.401,121.402,31.212,31.213
Shanghai,1,13,0.1715,2.82,3.3,0,121.401,121.402,31.213,31.214
Shanghai,1,14,0.0916,5.16,2.98,0,121.401,121.402,31.214,31.215
Shanghai,1,15,0.1467,5.97,2.42,0,121.401,121.402,31.215,31.216
Shanghai,1,16,0.0,0.0,6.73,0,121.401,121.402,31.216,31.217
Shanghai,1,17,0.1863,9.78,4.46,0,121.401,121.402,31.217,31.218
Shanghai,1,18,0.0,0.0,0.87,0,121.401,121.402,31.218,31.219
Shanghai,1,19,0.1726,5.09,7.14,0,121.401,121.402,31.219,31.22
Shanghai,1,20,0.498,19.49,5.76,0,121.401,121.402,31.22,31.221
Shanghai,1,21,0.0914,0.0,6.85,0,121.401,121.402,31.221,31.222
Shanghai,1,22,0.5341,10.11,1.52,0,121.401,121.402,31.222,31.223
Shanghai,1,23,0.059,12.0,1.61,1,121.401,121.402,31.223,31.224
Shanghai,1,24,0.0092,12.86,4.39,0,121.401,121.402,31.224,31.225
Shanghai,1,25,0.3819,14.15,8.06,0,121.401,121.402,31.225,31.226
Shanghai,1,26,0.0,0.0,2.59,0,121.401,121.402,31.226,31.227
Shanghai,1,27,0.0623,0.0,4.56,0,121.401,121.402,31.227,31.228
Shanghai,1,28,0.1495,10.24,8.97,0,121.401,121.402,31.228,31.229
Shanghai,1,29,0.2391,8.78,6.4,0,121.401,121.402,31.229,31.23
Shanghai,1,30,0.0787,3.51,4.75,0,121.401,121.402,31.23,31.231
Shanghai,1,31,0.1923,10.87,2.02,0,121.401,121.402,31.231,31.232
Shanghai,1,32,0.2315,8.61,7.52,0,121.401,121.402,31.232,31.233
Shanghai,1,33,0.7676,11.66,6.08,0,121.401,121.402,31.233,31.234
Shanghai,1,34,0.0,0.0,3.49,0,121.401,121.402,31.234,31.235
Shanghai,1,35,0.0,3.11,4.22,0,121.401,121.402,31.235,31.236
Shanghai,1,36,0.303,2.47,7.15,0,121.401,121.402,31.236,31.237
Shanghai,1,37,0.1008,0.0,1.39,0,121.401,121.402,31.237,31.238
Shanghai,1,38,0.0,11.34,8.83,0,121.401,121.402,31.238,31.239
Shanghai,1,39,0.0442,7.7,4.92,0,121.401,121.402,31.239,31.24
Shanghai,1,40,0.1684,9.5,6.79,0,121.401,121.402,31.24,31.241
Shanghai,1,41,0.2392,13.58,8.32,0,121.401,121.402,31.241,31.242
Shanghai,1,42,0.0,0.0,0.9,0,121.401,121.402,31.242,31.243
Shanghai,1,43,0.0,0.0,3.05,0,121.401,121.402,31.243,31.244
Shanghai,1,44,0.0,0.0,4.82,0,121.401,121.402,31.244,31.245
Shanghai,1,45,0.2932,5.57,4.05,0,121.401,121.402,31.245,31.246
Shanghai,1,46,0.089,7.89,2.76,0,121.401,121.402,31.246,31.247
Shanghai,1,47,0.2223,0.0,5.26,0,121.401,121.402,31.247,31.248
Shanghai,1,48,0.0,0.0,3.26,0,121.401,121.402,31.248,31.249
Shanghai,1,49,0.0,5.49,5.14,0,121.401,121.402,31.249,31.25
Shanghai,2,0,0.5887,13.99,9.73,0,121.402,121.403,31.2,31.201
Shanghai,2,1,0.0,0.0,2.01,0,121.402,121.403,31.201,31.202
Shanghai,2,2,0.0,0.0,3.48,0,121.402,121.403,31.202,31.203
Shanghai,2,3,0.2183,1.28,3.6,0,121.402,121.403,31.203,31.204
Shanghai,2,4,0.1493,0.0,5.76,0,121.402,121.403,31.204,31.205
Shanghai,2,5,0.2127,0.0,5.38,0,121.402,121.403,31.205,31.206
Shanghai,2,6,0.0484,5.17,6.25,0,121.402,121.403,31.206,31.207
Shanghai,2,7,0.2973,0.0,3.13,0,121.402,121.403,31.207,31.208
Shanghai,2,8,0.0,4.63,5.78,0,121.402,121.403,31.208,31.209
Shanghai,2,9,0.2734,4.15,3.26,0,121.402,121.403,31.209,31.21
Shanghai,2,10,0.2471,16.24,3.21,0,121.402,121.403,31.21,31.211
Shanghai,2,11,0.2998,9.15,2.98,0,121.402,121.403,31.211,31.212
Shanghai,2,12,0.3638,16.35,4.15,1,121.402,121.403,31.212,31.213
Shanghai,2,13,0.3308,15.47,4.38,0,121.402,121.403,31.213,31.214
Shanghai,2,14,0.1115,7.21,0.0,0,121.402,121.403,31.214,31.215
Shanghai,2,15,0.0,0.0,1.74,0,121.402,121.403,31.215,31.216
Shanghai,2,16,0.4139,12.04,3.83,0,121.402,121.403,31.216,31.217
Shanghai,2,17,0.2624,3.88,2.89,0,121.402,121.403,31.217,31.218
Shanghai,2,18,0.3285,10.02,5.24,0,121.402,121.403,31.218,31.219
Shanghai,2,19,0.3861,8.26,2.43,0,121.402,121.403,31.219,31.22
Shanghai,2,20,0.1822,9.83,6.42,0,121.402,121.403,31.22,31.221
Shanghai,2,21,0.0,2.8,0.0,0,121.402,121.403,31.221,31.222
Shanghai,2,22,0.1777,4.78,4.52,0,121.402,121.403,31.222,31.223
Shanghai,2,23,0.0311,0.0,2.35,0,121.402,121.403,31.223,31.224
Shanghai,2,24,0.0,0.0,1.55,0,121.402,121.403,31.224,31.225
Shanghai,2,25,0.0838,10.09,5.17,0,121.402,121.403,31.225,31.226
Shanghai,2,26,0.1238,0.0,3.09,0,121.402,121.403,31.226,31.227
Shanghai,2,27,0.0346,0.0,3.49,0,121.402,121.403,31.227,31.228
Shanghai,2,28,0.5042,14.77,7.58,0,121.402,121.403,31.228,31.229
Shanghai,2,29,0.1743,8.44,5.36,0,121.402,121.403,31.229,31.23
