city,grid_x,grid_y,building_density,avg_building_height,terrain_complexity,no_fly_zone,min_lon,max_lon,min_lat,max_lat
Shenzhen,0,0,0.197,8.55,6.07,1,114.0,114.001,22.5,22.501
Shenzhen,0,1,0.3368,24.44,2.09,0,114.0,114.001,22.501,22.502
Shenzhen,0,2,0.4282,6.16,3.4,0,114.0,114.001,22.502,22.503
Shenzhen,0,3,0.1575,0.0,0.0,0,114.0,114.001,22.503,22.504
Shenzhen,0,4,0.2793,10.08,4.23,0,114.0,114.001,22.504,22.505
Shenzhen,0,5,0.0597,0.0,6.83,0,114.0,114.001,22.505,22.506
Shenzhen,0,6,0.0754,7.61,6.07,0,114.0,114.001,22.506,22.507
Shenzhen,0,7,0.0,0.0,0.0,0,114.0,114.001,22.507,22.508
Shenzhen,0,8,0.3134,10.7,9.2,0,114.0,114.001,22.508,22.509
Shenzhen,0,9,0.0,0.0,4.57,0,114.0,114.001,22.509,22.51
Shenzhen,0,10,0.3072,2.27,2.8,1,114.0,114.001,22.51,22.511
Shenzhen,0,11,0.0373,0.0,2.5,0,114.0,114.001,22.511,22.512
Shenzhen,0,12,0.2455,8.96,2.67,0,114.0,114.001,22.512,22.513
Shenzhen,0,13,0.4107,11.5,2.71,0,114.0,114.001,22.513,22.514
Shenzhen,0,14,0.1602,3.68,8.45,0,114.0,114.001,22.514,22.515
Shenzhen,0,15,0.0,0.0,3.01,0,114.0,114.001,22.515,22.516
Shenzhen,0,16,0.1312,7.8,5.83,0,114.0,114.001,22.516,22.517
Shenzhen,0,17,0.1227,10.55,0.0,0,114.0,114.001,22.517,22.518
Shenzhen,0,18,0.3721,5.18,7.3,0,114.0,114.001,22.518,22.519
Shenzhen,0,19,0.2383,9.01,3.29,0,114.0,114.001,22.519,22.52
Shenzhen,0,20,0.0591,0.0,0.0,0,114.0,114.001,22.52,22.521
Shenzhen,0,21,0.3456,6.27,4.27,0,114.0,114.001,22.521,22.522
Shenzhen,0,22,0.0569,0.0,2.41,0,114.0,114.001,22.522,22.523
Shenzhen,0,23,0.0853,3.35,3.44,0,114.0,114.001,22.523,22.524
Shenzhen,0,24,0.5457,18.15,4.7,0,114.0,114.001,22.524,22.525
Shenzhen,0,25,0.0788,4.13,5.95,0,114.0,114.001,22.525,22.526
Shenzhen,0,26,0.6197,19.86,3.86,0,114.0,114.001,22.526,22.527
