city,grid_x,grid_y,building_density,avg_building_height,terrain_complexity,no_fly_zone,min_lon,max_lon,min_lat,max_lat
Beijing,0,0,0.1177,5.05,4.14,0,116.0,116.001,39.9,39.901
Beijing,0,1,0.374,12.32,5.35,0,116.0,116.001,39.901,39.902
Beijing,0,2,0.4594,25.35,6.84,0,116.0,116.001,39.902,39.903
Beijing,0,3,0.0244,0.0,6.38,0,116.0,116.001,39.903,39.904
Beijing,0,4,0.0391,2.04,5.19,0,116.0,116.001,39.904,39.905
Beijing,0,5,0.1348,1.56,2.62,0,116.0,116.001,39.905,39.906
Beijing,0,6,0.1503,7.72,10.0,1,116.0,116.001,39.906,39.907
Beijing,0,7,0.25,5.05,3.14,0,116.0,116.001,39.907,39.908
Beijing,0,8,0.2972,11.57,3.12,0,116.0,116.001,39.908,39.909
Beijing,0,9,0.1323,0.0,4.61,0,116.0,116.001,39.909,39.91
Beijing,0,10,0.0959,6.77,4.51,0,116.0,116.001,39.91,39.911
Beijing,0,11,0.2728,9.86,0.0,0,116.0,116.001,39.911,39.912
Beijing,0,12,0.1965,10.34,4.11,0,116.0,116.001,39.912,39.913
Beijing,0,13,0.3197,7.89,5.2,0,116.0,116.001,39.913,39.914
Beijing,0,14,0.3902,7.38,5.2,0,116.0,116.001,39.914,39.915
Beijing,0,15,0.2486,0.0,4.97,0,116.0,116.001,39.915,39.916
Beijing,0,16,0.0,4.84,2.52,0,116.0,116.001,39.916,39.917
Beijing,0,17,0.2236,0.12,5.89,0,116.0,116.001,39.917,39.918
Beijing,0,18,0.0,0.62,8.26,0,116.0,116.001,39.918,39.919
Beijing,0,19,0.0657,4.36,0.0,0,116.0,116.001,39.919,39.92
Beijing,0,20,0.2545,5.16,5.52,0,116.0,116.001,39.92,39.921
Beijing,0,21,0.1986,12.4,5.66,0,116.0,116.001,39.921,39.922
Beijing,0,22,0.2758,4.35,1.47,0,116.0,116.001,39.922,39.923
Beijing,0,23,0.1842,6.7,0.0,0,116.0,116.001,39.923,39.924
Beijing,0,24,0.0357,0.0,9.21,0,116.0,116.001,39.924,39.925
Beijing,0,25,0.0,0.0,3.92,0,116.0,116.001,39.925,39.926
Beijing,0,26,0.3846,9.49,6.66,0,116.0,116.001,39.926,39.927
Beijing,0,27,0.4386,8.1,3.53,0,116.0,116.001,39.927,39.928
Beijing,0,28,0.292,5.18,4.65,0,116.0,116.001,39.928,39.929
Beijing,0,29,0.3846,10.29,6.3,0,116.0,116.001,39.929,39.93
